id;description;frequency;features;grid;iterations;params
1;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";1000;""
2;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";10000;""
3;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";1000;""
4;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";10000;""
5;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";1000;""
6;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";10000;""
7;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";1000;""
8;"";"dia";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";10000;""
9;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"5,5";1000;""
10;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"5,5";10000;""
11;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"10,10";1000;""
12;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"10,10";10000;""
13;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"25,25";1000;""
14;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"25,25";10000;""
15;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"50,50";1000;""
16;"";"dia";"fecha_cnt, tmax, tmin, precip, longitud, latitud, altitud";"50,50";10000;""
17;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"5,5";1000;""
18;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"5,5";10000;""
19;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"10,10";1000;""
20;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"10,10";10000;""
21;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"25,25";1000;""
22;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"25,25";10000;""
23;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"50,50";1000;""
24;"";"dia";"fecha_cnt, tmax, tmin, longitud, latitud, altitud";"50,50";10000;""
25;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"5,5";1000;""
26;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"5,5";10000;""
27;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"10,10";1000;""
28;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"10,10";10000;""
29;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"25,25";1000;""
30;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"25,25";10000;""
31;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"50,50";1000;""
32;"";"dia";"fecha_cnt, precip, longitud, latitud, altitud";"50,50";10000;""
33;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";1000;""
34;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"5,5";10000;""
35;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";1000;""
36;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"10,10";10000;""
37;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";1000;""
38;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"25,25";10000;""
39;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";1000;""
40;"";"dia";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";10000;""
41;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"5,5";1000;""
42;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"5,5";10000;""
43;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"10,10";1000;""
44;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"10,10";10000;""
45;"";"dia";"tmax, tmin, precip, longitud, latitud, altitud";"25,25";1000;""
